Weight,Word_1,Part_1,Word_2,Part_2
67062,aber,Konjunktion,но,союз
66548,Aber,Konjunktion,Но,союз
65985,schon,Adverb,уже,наречие
65002,wenn,Subjunktion,если,подчинительный союз
62904,wird,Verb,становится,глагол
61210,um,Präposition,вокруг,предлог
60432,Wie,Adverb,Как,наречие
59151,als,Konjunktion,как,подчинительный союз
57636,bist,Verb,являешься,глагол
57362,im,Präposition,в,предлог
56522,mal,Adverb,раз,частица
55227,doch,Konjunktion,но,союз
54294,gut,Adjektiv,хорошо,прилагательное
53007,meine,Possessivpronomen,моя,притяжательное местоимение
52473,jetzt,Adverb,сейчас,наречие
50439,weiß,Verb,знает,глагол
49877,Wenn,Subjunktion,Если,подчинительный союз
48978,werden,Verb,становиться,глагол
48462,Der,Artikel,Тот,артикль
46626,nach,Präposition,после,предлог
46323,ja,Partikel,Да,частица
45987,Oh,Interjektion,О,междометие
45933,oder,Konjunktion,или,союз
45618,dann,Adverb,затем,наречие
44356,will,Verb,хочет,глагол
43657,mein,Possessivpronomen,мой,притяжательное местоимение
43481,mehr,Adverb,больше,наречие
43065,keine,Artikel,нет,артикль
42723,etwas,Pronomen,что-нибудь,местоимение
42302,alles,Pronomen,всё,местоимение
41814,muss,Verb,должен,глагол
41439,immer,Adverb,всегда,наречие
41310,nichts,Pronomen,ничего,местоимение
40045,man,Pronomen,мужчина,существительное
39978,wieder,Adverb,снова,наречие
37280,bei,Präposition,у,предлог
37273,hab,Verb,иметь,глагол
35975,machen,Verb,делать,глагол
34847,vor,Präposition,до,предлог
34533,Mann,Substantiv,Мужчина,существительное
33830,ihm,Pronomen,ему,местоимение
33790,einem,Artikel,одному,артикль
33788,tun,Verb,делать,глагол
33448,zum,Präposition,к,предлог
33390,können,Verb,могут,глагол
33190,sagen,Verb,сказать,глагол
32760,werde,Verb,стану,глагол
32609,denn,Konjunktion,потому что,союз
32022,Ist,Verb,Является,глагол
31984,Ein,Artikel,Один,артикль
31663,Warum,Interrogativpronomen,Почему,вопросительное местоимение
31224,einer,Artikel,один,артикль
31102,gehen,Verb,идти,глагол
31077,sehen,Verb,видеть,глагол
30737,sehr,Adverb,очень,наречие
30722,geht,Verb,идёт,глагол
30011,alle,Pronomen,все,местоимение
29926,über,Präposition,над,предлог
29116,müssen,Verb,должны,глагол
28967,diese,Pronomen,эти,местоимение
28915,einfach,Adverb,просто,наречие
28691,euch,Pronomen,вам,местоимение
28286,des,Artikel,того,артикль
28227,nie,Adverb,никогда,наречие
28108,Also,Adverb,Итак,наречие
27397,Wo,Interrogativpronomen,Где,вопросительное местоимение
26971,los,Verb,уйти,глагол
26937,Zeit,Substantiv,Время,существительное
26918,Ihnen,Pronomen,Им,местоимение
26663,gibt,Verb,дает,глагол
26631,wirklich,Adverb,действительно,наречие
26567,Hey,Interjektion,Привет,междометие
26062,Danke,Substantiv,Спасибо,существительное
26021,deine,Possessivpronomen,твой,притяжательное местоимение
25985,würde,Verb,бы,глагол
25560,soll,Verb,должен,глагол
25422,Da,Adverb,Там,наречие
24885,hatte,Verb,имел,глагол
24506,Hier,Adverb,Здесь,наречие
24499,wissen,Verb,знать,глагол
24480,bitte,Adverb,пожалуйста,наречие
24372,viel,Adverb,много,наречие
24132,Dann,Adverb,Затем,наречие
23859,So,Adverb,Так,наречие
23480,gesagt,Verb,сказал,глагол
23294,Ihr,Pronomen,Вы,местоимение
22978,am,Präposition,на,предлог
22907,kein,Artikel,нет,артикль
22810,Komm,Verb,Приходи,глагол
22770,Wer,Interrogativpronomen,Кто,вопросительное местоимение
22582,zurück,Adverb,назад,наречие
22518,wurde,Verb,стал,глагол
22127,In,Präposition,В,предлог
21926,wollte,Verb,хотел,глагол
21600,Frau,Substantiv,Женщина,существительное
21498,Leben,Substantiv,Жизнь,существительное
21160,wäre,Verb,был бы,глагол
21148,wo,Interrogativpronomen,где,вопросительное местоимение
21036,damit,Adverb,с этим,наречие
21007,Nicht,Partikel,Нет,частица
20888,lch,Fehler,-,-
20696,Gott,Substantiv,Бог,существительное
20021,Leute,Substantiv,Люди,существительное
20003,kannst,Verb,можешь,глагол
19929,heute,Adverb,сегодня,наречие
19665,meinen,Verb,иметь в виду,глагол
19662,dieser,Pronomen,этот,местоимение
19661,dein,Possessivpronomen,твой,притяжательное местоимение
19609,kommt,Verb,приходит,глагол
19603,kommen,Verb,приходить,глагол
19251,willst,Verb,хочешь,глагол
19032,Na,Interjektion,Ну,междометие
18985,wollen,Verb,хотеть,глагол
18773,sicher,Adverb,безопасно,наречие
18536,ganz,Adverb,весь,наречие
18431,Jetzt,Adverb,Сейчас,наречие
18243,Mein,Possessivpronomen,Мой,притяжательное местоимение
18116,Mr,Titel,Мистер,титул
17878,also,Adverb,так,наречие
17867,zur,Präposition,к,предлог
17850,Hast,Verb,имеешь,глагол
17815,Gut,Adjektiv,Хороший,прилагательное
17678,hätte,Verb,имел бы,глагол
17549,weil,Subjunktion,потому что,подчинительный союз
17501,tut,Verb,делает,глагол
17491,Hallo,Interjektion,Привет,междометие
17417,Okay,Interjektion,ОК,междометие
17365,macht,Verb,делает,глагол
17096,waren,Verb,были,глагол
16859,bis,Präposition,до,предлог
16805,Vielleicht,Adverb,Возможно,наречие
16799,könnte,Verb,мог бы,глагол
16799,Eine,Artikel,Одна,артикль
16706,Bitte,Adverb,Пожалуйста,наречие
16656,weg,Adverb,прочь,наречие
16602,seine,Possessivpronomen,его,притяжательное местоимение
16592,lassen,Verb,позволять,глагол
16542,Vater,Substantiv,Отец,существительное
16535,gesehen,Verb,виденный,глагол
16429,Nun,Adverb,Ну,наречие
16406,gerade,Adverb,прямо,наречие
16374,Alles,Pronomen,Все,местоимение
16370,glaube,Verb,полагать,глагол
16315,Tag,Substantiv,День,существительное
16283,ab,Präposition,от,предлог
16264,Geld,Substantiv,Деньги,существительное
16191,gemacht,Verb,сделал,глагол
15945,nein,Partikel,нет,частица
15562,Sir,Titel,Сэр,титул
15548,sollte,Verb,должен,глагол
15350,sagte,Verb,сказал,глагол
15269,keinen,Artikel,нет,артикль
15113,durch,Präposition,через,предлог
15029,zwei,Numeral,два,числительное
14984,diesen,Artikel,этот,артикль
14912,passiert,Verb,случилось,глагол
14828,wohl,Adverb,вероятно,наречие
14601,vielleicht,Adverb,Возможно,наречие
14438,ihre,Possessivpronomen,её,притяжательное местоимение
14405,Mutter,Substantiv,Мать,существительное
14391,reden,Verb,разговаривать,глагол
14310,anderen,Pronomen,другие,местоимение
14298,dachte,Verb,думал,глагол
14287,dass,Subjunktion,что,подчинительный союз
14217,möchte,Verb,хотел бы,глагол
14216,wirst,Verb,станешь,глагол
14189,Ihr,Pronomen,Ваша,местоимение
14151,gehört,Verb,принадлежит,глагол
14150,weißt,Verb,знаешь,глагол
14032,Keine,Artikel,Нет,артикль
14009,raus,Adverb,наружу,наречие
13988,Meine,Possessivpronomen,Моя,притяжательное местоимение
13980,paar,Substantiv,пара,существительное
13968,besser,Adverb,лучше,наречие
13780,ob,Subjunktion,ли,частица
13720,her,Adverb,сюда,наречие
13698,musst,Verb,должен,глагол
13675,Ordnung,Substantiv,Порядок,существительное
13594,meiner,Possessivpronomen,мой,притяжательное местоимение
13495,klar,Adverb,ясно,наречие
13448,ihnen,Pronomen,им,местоимение
13225,Los,Substantiv,Выход,существительное
13192,diesem,Artikel,этому,артикль
13140,meinem,Possessivpronomen,моему,притяжательное местоимение
13080,lange,Adverb,долго,наречие
12934,Lass,Verb,Позволь,глагол
12894,dieses,Artikel,это,артикль
12847,helfen,Verb,помогать,глагол
12727,unsere,Possessivpronomen,наш,притяжательное местоимение
12658,Weg,Substantiv,Путь,существительное
12629,selbst,Adverb,сам,наречие
12609,Nur,Adverb,Только,частица
12513,finden,Verb,находить,глагол
12476,Mal,Adverb,Раз,частица
12351,jemand,Pronomen,кто-то,местоимение
12245,denke,Verb,думаю,глагол
12242,Ach,Interjektion,Ой,междометие
12177,Nacht,Substantiv,Ночь,существительное
12096,genau,Adverb,точно,наречие
12016,gar,Adverb,даже,частица
11986,sagt,Verb,говорит,глагол
11980,Welt,Substantiv,Мир,существительное
11904,Auf,Präposition,На,предлог
11885,Mädchen,Substantiv,Девочка,существительное
11880,ins,Präposition,в,предлог
11850,hin,Adverb,туда,наречие
11806,vom,Präposition,от,предлог
11748,schön,Adjektiv,красивый,прилагательное
11714,warum,Interrogativpronomen,Почему,вопросительное местоимение
11712,weiter,Adverb,дальше,наречие
11689,Leid,Substantiv,Печаль,существительное
11641,gleich,Adverb,одинаково,наречие
11603,wer,Interrogativpronomen,кто,вопросительное местоимение
11600,Man,Substantiv,Мужчина,существительное
11375,ohne,Präposition,без,предлог
11346,Menschen,Substantiv,Люди,существительное
11319,deinen,Possessivpronomen,твой,притяжательное местоимение
11303,leid,Substantiv,печаль,существительное
11285,Wieso,Interrogativpronomen,Почему,вопросительное местоимение
11227,dort,Adverb,там,наречие
11187,Als,Konjunktion,Как,подчинительный союз
11174,Hause,Substantiv,Дом,существительное
11169,sollten,Verb,должны,глагол
11161,davon,Adverb,от этого,наречие
11159,zusammen,Adverb,вместе,наречие
11024,geben,Verb,давать,глагол
10994,Ok,Interjektion,ОК,междометие
10987,Hör,Verb,Слушать,глагол
10910,machst,Verb,делаешь,глагол
10848,Freund,Substantiv,Друг,существительное
10826,richtig,Adverb,правильно,наречие
10769,Angst,Substantiv,Страх,существительное
10721,Bist,Verb,являешься,глагол
10669,Tut,Verb,Делает,глагол
10653,Mit,Präposition,С,предлог
10446,viele,Adjektiv,много,прилагательное
10322,sieht,Verb,видит,глагол
10265,Haus,Substantiv,Дом,существительное
10264,tot,Adjektiv,мертвый,прилагательное
10215,sollen,Modalverb,должны,модальный глагол
10063,ganze,Adjektiv,весь,прилагательное
10007,andere,Adjektiv,другой,прилагательное
9974,getan,Verb,сделал,глагол
9905,okay,Interjektion,Окей,междометие
9883,rein,Adjektiv,чистый,прилагательное
9870,Diese,Pronomen,Этот,местоимение
9769,Moment,Substantiv,Момент,существительное
9767,bleiben,Verb,оставаться,глагол
9680,brauchen,Verb,нуждаться,глагол
9643,Weil,Subjunktion,Потому что,подчинительный союз
9621,Kinder,Substantiv,Дети,существительное
9616,unter,Präposition,под,предлог
9601,Arbeit,Substantiv,Работа,существительное
9573,Für,Präposition,Для,предлог
9546,Problem,Substantiv,Проблема,существительное
9543,dafür,Adverb,для этого,наречие
9504,Herr,Substantiv,Господин,существительное
9500,Haben,Verb,Иметь,глагол
9498,wegen,Präposition,из-за,предлог
9388,Jack,Eigenname,Джек,имя собственное
9250,geht's,Verb,всё нормально,глагол
9206,liebe,Substantiv,любовь,существительное
9191,genug,Adverb,достаточно,наречие
9188,dabei,Adverb,при этом,наречие
9172,bringen,Verb,приносить,глагол
9146,Ihre,Possessivpronomen,Ее,притяжательное местоимение
9057,ne,Interjektion,нет,междометие
8966,gegen,Präposition,против,предлог
8938,Weißt,Verb,Ты знаешь,глагол
8915,Sag,Verb,Скажи,глагол
8885,schnell,Adjektiv,быстро,прилагательное
8820,nun,Adverb,теперь,наречие
8815,eines,Pronomen,один,местоимение
8804,brauche,Verb,нуждаюсь,глагол
8803,Abend,Substantiv,Вечер,существительное
8792,hatten,Verb,имел,глагол
8780,Jahre,Substantiv,Годы,существительное
8773,Mach,Verb,Делать,глагол
8760,Bruder,Substantiv,Брат,существительное
8712,Sache,Substantiv,Вещь,существительное
8641,hören,Verb,слышать,глагол
8630,komm,Verb,приходить,глагол
8626,Sohn,Substantiv,Сын,существительное
8574,seit,Präposition,с,предлог
8559,Morgen,Substantiv,Утро,существительное
8501,drei,Numeral,три,числительное
8478,steht,Verb,стоит,глагол
8477,Scheiße,Substantiv,Дерьмо,существительное
8447,mag,Verb,любить,глагол
8443,sei,Verb,быть,глагол
8409,unser,Possessivpronomen,наш,притяжательное местоимение
8364,konnte,Verb,мог,глагол
8280,habt,Verb,иметь,глагол
8276,Oder,Konjunktion,Или,союз
8247,einmal,Adverb,один раз,наречие
8194,heißt,Verb,называется,глагол
8180,OK,Interjektion,ОК,междометие
8152,Willst,Verb,Хочет,глагол
8137,Kopf,Substantiv,Голова,существительное
8127,Hilfe,Substantiv,Помощь,существительное
8086,Familie,Substantiv,Семья,существительное
8075,Geh,Verb,Идти,глагол
8075,Baby,Substantiv,Малыш,существительное
8064,Dich,Pronomen,Ты,местоимение
8042,Sind,Verb,Являются,глагол
8033,erst,Adverb,сначала,наречие
8031,fertig,Adjektiv,готов,прилагательное
8012,gefunden,Verb,найденный,глагол
7997,seid,Verb,являетесь,глагол
7983,kam,Verb,пришел,глагол
7976,nehmen,Verb,брать,глагол
7908,morgen,Adverb,утром,наречие
7854,sprechen,Verb,говорить,глагол
7848,Mir,Pronomen,Мне,местоимение
7834,sofort,Adverb,немедленно,наречие
7776,Kann,Verb,Может,глагол
7742,Hat,Verb,Имеет,глагол
7735,Jahren,Substantiv,Годы,существительное
7720,Kind,Substantiv,Ребенок,существительное
7718,seinen,Possessivpronomen,Его,притяжательное местоимение
7688,Genau,Adverb,Точно,наречие
7681,daran,Adverb,к этому,наречие
7669,Junge,Substantiv,Мальчик,существительное
7661,Minuten,Substantiv,Минуты,существительное
7642,bevor,Subjunktion,до,подчинительный союз
7630,Stadt,Substantiv,Город,существительное
7623,beim,Präposition,у,предлог
7619,sterben,Verb,умереть,глагол
7614,warst,Verb,был,глагол
7552,Recht,Substantiv,Право,существительное
7551,glauben,Verb,полагать,глагол
7540,Warte,Verb,Ждать,глагол
7528,darüber,Adverb,об этом,наречие
7520,deiner,Possessivpronomen,твой,притяжательное местоимение
7515,Ihre,Possessivpronomen,Твой,притяжательное местоимение
7513,deinem,Possessivpronomen,Твой,притяжательное местоимение
7431,Ende,Substantiv,Конец,существительное
7404,He,Interjektion,Привет,междометие
7403,Dinge,Substantiv,Вещи,существительное
7397,Namen,Substantiv,Имена,существительное
7396,WAHR,Adjektiv,истинный,прилагательное
7309,Alle,Pronomen,Все,местоимение
7287,allein,Adverb,один,наречие
7279,Natürlich,Adverb,Естественно,наречие
7277,töten,Verb,убивать,глагол
7256,Nichts,Pronomen,Ничего,местоимение
7231,Wirklich,Adverb,Действительно,наречие
7231,bekommen,Verb,получать,глагол
7226,Männer,Substantiv,Мужчины,существительное
7164,vergessen,Verb,забывать,глагол
7133,Doch,Konjunktion,Но,союз
7128,dazu,Adverb,кроме того,наречие
7121,gab,Verb,дал,глагол
7096,später,Adverb,позже,наречие
7087,wusste,Verb,знал,глагол
7055,Augen,Substantiv,Глаза,существительное
7036,Dank,Substantiv,Благодаря,существительное
7033,Freunde,Substantiv,Друзья,существительное
6993,Jungs,Substantiv,Ребята,существительное
6993,halten,Verb,держать,глагол
6979,warten,Verb,ждать,глагол
6972,Glück,Substantiv,Удача,существительное
6970,beide,Pronomen,оба,местоимение
6958,gute,Adjektiv,хороший,прилагательное
6933,Dein,Possessivpronomen,Твой,притяжательное местоимение
6891,kennen,Verb,знать,глагол
6890,Deine,Possessivpronomen,твой,притяжательное местоимение
6858,Hi,Interjektion,Привет,междометие
6836,Dr,Titel,Доктор,титул
6811,Auto,Substantiv,машина,существительное
6792,sage,Verb,говорю,глагол
6777,gehe,Verb,иду,глагол
6776,komme,Verb,прихожу,глагол
6773,Dir,Pronomen,Тебе,местоимение
6754,mache,Verb,делаю,глагол
6738,Von,Präposition,От,предлог
6735,Uhr,Substantiv,Часы,существительное
6729,sehe,Verb,вижу,глагол
6722,Teufel,Eigenname,Дьявол,имя собственное
6720,sonst,Adverb,в противном случае,наречие
6711,Art,Substantiv,Искусство,существительное
6709,gern,Adverb,с радостью,наречие
6708,Liebe,Substantiv,Любовь,существительное
6704,jeden,Artikel,каждый,артикль
6697,könnten,Verb,могли бы,глагол
6685,ihren,Possessivpronomen,их,притяжательное местоимение
6655,Halt,Verb,останавливаться,глагол
6640,Fall,Substantiv,случай,существительное
6639,Dad,Eigenname,Папа,имя собственное
6623,Film,Substantiv,фильм,существительное
6586,bisschen,Adverb,немного,наречие
6574,eigentlich,Adverb,на самом деле,наречие
6564,weit,Adverb,далеко,наречие
6500,mach,Verb,делать,глагол
6499,Gib,Verb,давать,глагол
6475,vorbei,Adverb,мимо,наречие
6468,verstehe,Verb,понимаю,глагол
6461,danke,Substantiv,Спасибо,существительное
6452,drin,Adverb,внутри,наречие
6371,Im,Präposition,В,предлог
6352,Name,Substantiv,имя,существительное
6344,ganzen,Artikel,весь,артикль
6312,Musik,Substantiv,Музыка,существительное
6302,würden,Verb,стали бы,глагол
6301,Tür,Substantiv,дверь,существительное
6293,verrückt,Adjektiv,сумасшедший,прилагательное
6293,solltest,Verb,должен был,глагол
6265,denken,Verb,думать,глагол
6213,Noch,Adverb,ещё,частица
6208,dran,Adverb,твоя очередь,наречие
6139,Sieh,Verb,смотри,глагол
6138,lieber,Adjektiv,дорогой,прилагательное
6134,Den,Artikel,тот,артикль
6129,leben,Verb,жить,глагол
6122,Guten,Adjektiv,хороший,прилагательное
6115,Um,Präposition,вокруг,предлог
6110,darauf,Adverb,на этом,наречие
6085,Kein,Artikel,нет,артикль
6082,stimmt,Verb,верно,глагол
6077,John,Eigenname,Джон,имя собственное
6072,Kerl,Substantiv,парень,существительное
6069,letzte,Adjektiv,последний,прилагательное
6057,Job,Substantiv,работа,существительное
6056,verloren,Verb,потерянный,глагол
6048,wurden,Verb,стали,глагол
6026,kenne,Verb,знаю,глагол
6007,Ahnung,Substantiv,идея,существительное
5959,seiner,Possessivpronomen,его,притяжательное местоимение
5952,Grund,Substantiv,причина,существительное
5940,toll,Adjektiv,отличный,прилагательное
5940,Bis,Präposition,До,предлог
5936,Verdammt,Interjektion,Проклятый,междометие
5903,bald,Adverb,скоро,наречие
5901,bereit,Adjektiv,готовый,прилагательное
5892,all,Pronomen,все,местоимение
5884,jemanden,Pronomen,кого-то,местоимение
5836,hinter,Präposition,позади,предлог
5835,Schon,Adverb,Уже,наречие
5831,Sehr,Adverb,Очень,наречие
5816,Hand,Substantiv,рука,существительное
5812,darf,Verb,может,глагол
5794,Dieser,Artikel,Этот,артикль
5789,Frauen,Substantiv,Женщины,существительное
5788,Euch,Pronomen,Вам,местоимение
5778,Idee,Substantiv,идея,существительное
5759,runter,Adverb,вниз,наречие
5759,Macht,Substantiv,Власть,существительное
5759,draußen,Adverb,снаружи,наречие
5743,lang,Adverb,длинный,наречие
5734,Land,Substantiv,страна,существительное
5731,lass,Verb,позволь,глагол
5728,Typ,Substantiv,тип,существительное
5701,hätten,Verb,имел бы,глагол
5697,egal,Adverb,не имеет значения,частица
5685,arbeiten,Verb,работать,глагол
5683,spät,Adverb,поздно,наречие
5682,stehen,Verb,стоять,глагол
5681,ok,Interjektion,ОК,междометие
5680,Gute,Adjektiv,Хороший,прилагательное
5672,gekommen,Verb,пришел,глагол
5671,Bei,Präposition,В,предлог
5667,etwa,Adverb,примерно,наречие
5651,essen,Verb,есть,глагол
5629,kleine,Adjektiv,маленький,прилагательное
5623,jeder,Artikel,каждый,артикль
5617,Schwester,Substantiv,Сестра,существительное
5611,Wasser,Substantiv,Вода,существительное
5610,spielen,Verb,играть,глагол
5601,Geschichte,Substantiv,История,существительное
5592,seinem,Possessivpronomen,его,притяжательное местоимение
5576,liegt,Verb,лежит,глагол
5556,sah,Verb,пила,глагол
5556,Mom,Eigenname,Мама,имя собственное
5551,Seite,Substantiv,Страница,существительное
5546,wenig,Adverb,немного,наречие
5546,ruhig,Adverb,тихий,наречие
5513,Frage,Substantiv,Вопрос,существительное
5490,meinst,Verb,имеешь в виду,глагол
5480,überhaupt,Adverb,совсем,наречие
5480,fahren,Verb,водить машину,глагол
5479,Ganz,Adverb,Довольно,наречие
5466,Gehen,Verb,Идти,глагол
5455,Essen,Substantiv,Еда,существительное
5448,Ruhe,Substantiv,Тихий,существительное
5409,echt,Adverb,настоящий,наречие
5392,versucht,Verb,пытался,глагол
5390,Tochter,Substantiv,Дочь,существительное
5390,Kommt,Verb,Приходит,глагол
5380,Einen,Artikel,Один,артикль
5373,ging,Verb,шел,глагол
5361,Jahr,Substantiv,Год,существительное
5360,braucht,Verb,нуждается,глагол
5349,fast,Adverb,почти,наречие
5347,neue,Adjektiv,новый,прилагательное
5337,geh,Verb,иди,глагол
5310,ziemlich,Adverb,довольно,наречие
5299,anders,Adjektiv,другой,прилагательное
5297,siehst,Verb,видишь,глагол
5294,Polizei,Substantiv,Полиция,существительное
5289,Stunden,Substantiv,Часы,существительное
5261,musste,Verb,должен был,глагол
5257,Spiel,Substantiv,Игра,существительное
5242,gewesen,Verb,был,глагол
5239,gerne,Adverb,с радостью,наречие
5232,finde,Verb,нахожу,глагол
5222,erzählt,Verb,рассказал,глагол
5199,Tod,Substantiv,Смерть,существительное
5185,Ort,Substantiv,Место,существительное
5169,Chance,Substantiv,Шанс,существительное
5167,bedeutet,Verb,означает,глагол
5164,War,Verb,Был,глагол
5163,sag,Verb,скажи,глагол
5143,sagst,Verb,говоришь,глагол
5123,fragen,Verb,спрашивать,глагол
5105,letzten,Adjektiv,последний,прилагательное
5079,sogar,Adverb,даже,частица
5076,ersten,Adjektiv,первый,прилагательное
5064,Sachen,Substantiv,Вещи,существительное
5057,Wahrheit,Substantiv,Правда,существительное
5056,einzige,Adjektiv,единственный,прилагательное
5048,kurz,Adverb,короткий,наречие
5038,denen,Pronomen,тем,местоимение
5016,Kommen,Verb,Приходить,глагол
4995,Spaß,Substantiv,Веселье,существительное
4981,Nach,Präposition,После,предлог
4973,oben,Adverb,выше,наречие
4971,Mama,Substantiv,Мама,существительное
4967,schwer,Adverb,трудный,наречие
4952,Schule,Substantiv,Школа,существительное
4944,je,Adverb,всегда,наречие
4935,eben,Adverb,именно,наречие
4927,Gesicht,Substantiv,Лицо,существительное
4883,bestimmt,Adverb,конечно,наречие
4876,treffen,Verb,встретиться,глагол
4866,niemand,Pronomen,никто,местоимение
4856,Woche,Substantiv,Неделя,существительное
4854,Entschuldigung,Substantiv,Прошу прощения,существительное
4838,Sorgen,Substantiv,Заботы,существительное
4833,warte,Verb,ждать,глагол
4826,natürlich,Adverb,естественно,наречие
4816,schlecht,Adjektiv,плохой,прилагательное
4802,große,Adjektiv,большой,прилагательное
4802,getötet,Verb,убит,глагол
4798,verstehen,Verb,понимать,глагол
4794,hoffe,Verb,надеяться,глагол
4769,Ah,Interjektion,Эм-м-м,междометие
4758,Sei,Verb,быть,глагол
4751,Zimmer,Substantiv,Комната,существительное
4749,hoch,Adverb,высокий,наречие
4748,unserer,Possessivpronomen,наш,притяжательное местоимение
4744,Tage,Substantiv,дни,существительное
4732,Teil,Substantiv,Часть,существительное
4722,Wann,Interrogativpronomen,Когда,вопросительное местоимение
4722,suchen,Verb,искать,глагол
4721,verlassen,Verb,оставлять,глагол
4687,zeigen,Verb,показывать,глагол
4674,wollten,Verb,хотели,глагол
4672,lässt,Verb,позволяет,глагол
4666,Wort,Substantiv,Слово,существительное
4665,eins,Numeral,один,числительное
4661,zwischen,Präposition,между,предлог
4658,Woher,Interrogativpronomen,Откуда,вопросительное местоимение
4649,Schatz,Substantiv,Сокровище,существительное
4633,Wissen,Substantiv,Знание,существительное
4631,versuchen,Verb,пытаться,глагол
4623,Können,Verb,Могут,глагол
4622,Kannst,Verb,Можешь,глагол
4608,nett,Adjektiv,милый,прилагательное
4556,Zu,Präposition,К,предлог
4530,kriegen,Verb,получать,глагол
4530,Geht,Verb,Идет,глагол
4530,Arsch,Substantiv,Жопа,существительное
4528,kleinen,Adjektiv,маленький,прилагательное
4527,Hab,Verb,Иметь,глагол
4525,weiß,Adjektiv,белый,прилагательное
4515,erste,Adjektiv,первый,прилагательное
4508,läuft,Verb,бегает,глагол
4505,kommst,Verb,приходишь,глагол
4501,Freundin,Substantiv,Подруга,существительное
4493,Mensch,Substantiv,Человек,существительное
4488,beiden,Pronomen,обоих,местоимение
4478,Ding,Substantiv,Вещь,существительное
4469,niemals,Adverb,никогда,наречие
4469,endlich,Adverb,наконец,наречие
4460,Nimm,Verb,Возьми,глагол
4448,muß,Verb,должен,глагол
4439,gehst,Verb,идёшь,глагол
4430,Heute,Adverb,Сегодня,наречие
4427,denkst,Verb,думаешь,глагол
4408,Herz,Substantiv,Сердце,существительное
4398,Waffe,Substantiv,Оружие,существительное
4392,Soll,Verb,Должен,глагол
4389,tust,Verb,делаешь,глагол
4389,Dollar,Substantiv,Доллар,существительное
4377,nehme,Verb,беру,глагол
4376,Schau,Verb,Смотри,глагол
4352,holen,Verb,приносить,глагол
4344,oft,Adverb,часто,наречие
4338,drauf,Adverb,на этом,наречие
4324,anderes,Adjektiv,другой,прилагательное
4314,Niemand,Pronomen,Никто,местоимение
4312,unten,Adverb,внизу,наречие
4309,Wagen,Substantiv,Вагон,существительное
4302,Yeah,Interjektion,Ага,междометие
4290,Schön,Adjektiv,Красивый,прилагательное
4260,wichtig,Adjektiv,Важный,прилагательное
4258,Mrs,Titel,Миссис,титул
4254,hättest,Verb,имел бы,глагол
4242,allen,Pronomen,всем,местоимение
4241,Miss,Substantiv,Пропуск,существительное
4232,ihrer,Possessivpronomen,их,притяжательное местоимение
4228,gedacht,Verb,подумал,глагол
4220,Nummer,Substantiv,Номер,существительное
4219,würdest,Verb,был бы,глагол
4212,erzählen,Verb,рассказывать,глагол
4192,bleibt,Verb,остаётся,глагол
4187,Auch,Adverb,Также,наречие
4174,Hände,Substantiv,Руки,существительное
4170,Blut,Substantiv,Кровь,существительное
